artist_id,id,country_code,channel_slug,retailer,sellable_type,sellable_id,period,Total,year_month
148199,638051434,AU,streaming,Youtube Music,Track,530941,14/06/2023 00:00:00,"0,008168605",2023-06
148199,638006521,KR,streaming,Youtube Music,Track,537449,27/06/2023 00:00:00,"0,012460252",2023-06
148199,638006529,AU,streaming,Youtube Music,Track,518466,04/06/2023 00:00:00,"0,004440449",2023-06
148199,628271593,TN,streaming,Anghami,Track,518095,01/09/2021 00:00:00,"0,00105493",2021-09
148199,628366770,AE,streaming,Anghami,Track,531235,01/03/2022 00:00:00,"0,00573602",2022-03
148199,637821554,MX,streaming,Youtube Music,Track,537195,27/06/2023 00:00:00,"0,000993633",2023-06
148199,628061868,SA,streaming,Anghami,Track,532450,01/01/2022 00:00:00,"1,697244017",2022-01
148199,628366797,AE,streaming,Anghami,Track,532617,01/12/2021 00:00:00,"0,043799846",2021-12
148199,637866001,ES,streaming,Youtube Music,Track,517816,26/06/2023 00:00:00,"0,0092281",2023-06
148199,792393978,BD,streaming,Youtube Ad Supported,Track,537295,29/02/2024 00:00:00,"0,00021924",2024-02
148199,628061980,LB,streaming,Anghami,Track,532450,01/03/2022 00:00:00,"0,000144933",2022-03
148199,637821837,BR,streaming,Youtube Music,Track,537332,08/06/2023 00:00:00,"0,003920052",2023-06
148199,637821845,US,streaming,Youtube Music,Track,537410,29/06/2023 00:00:00,"0,044676884",2023-06
148199,628062010,LB,streaming,Anghami,Track,532450,01/01/2022 00:00:00,"0,000180033",2022-01
148199,628062014,OM,streaming,Anghami,Track,531989,01/10/2021 00:00:00,"0,004555871",2021-10
148199,628366868,SA,streaming,Anghami,Track,532893,01/09/2021 00:00:00,"0,007058353",2021-09
148199,637821873,NL,streaming,Youtube Music,Track,518368,27/06/2023 00:00:00,"0,014940269",2023-06
148199,706335855,FR,streaming,Rhapsody EU,Track,518239,01/12/2021 00:00:00,"0,0221813",2021-12
148199,637821901,FR,streaming,Youtube Music,Track,537449,28/06/2023 00:00:00,"0,007836852",2023-06
148199,634998545,CL,streaming,Youtube Music,Track,532034,12/09/2023 00:00:00,"0,00152812",2023-09
148199,628366900,TN,streaming,Anghami,Track,532820,01/04/2022 00:00:00,"0,006614757",2022-04
